사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,1호선,1,서울역,654,17,9008,6400,12474,37203,37253,91875,59876,187805,44619,118679,42611,57710,49533,50003,59357,53317,61171,53687,53310,49094,65767,52788,76249,53969,122928,64693,184907,73978,87575,46769,59961,30743,65078,27435,44921,22829,11581,8024,30,637,0,1,0,0,0,0
Jun-21,1호선,10,동묘앞,51,1,3218,1100,3422,4802,5896,9703,9194,24921,8022,17333,9687,19292,14091,24305,20089,26186,24776,28141,27144,26643,28360,23213,31119,17744,27036,13759,23606,10098,11006,6510,6119,4409,5485,4265,3405,5689,1035,2589,4,1348,0,0,0,0,0,0
Jun-21,1호선,2,시청,37,0,1881,4340,2948,21443,6280,62346,7740,167991,8117,72853,9284,29250,14030,27989,15295,25037,18849,24492,23331,20032,30469,17869,36116,15593,66595,16611,135842,17805,46850,8139,38173,4455,39048,4234,28501,3686,4390,1485,3,92,0,0,0,0,0,0
Jun-21,1호선,3,종각,127,1,2314,4354,2868,23755,5479,96712,8419,223459,10625,131420,14727,50878,23057,44506,27707,39830,34538,40864,40378,33173,49745,29610,58664,29692,114985,33365,192552,39621,78735,19163,64989,7386,81179,4790,63653,3763,8153,1675,21,135,0,0,0,0,0,0
Jun-21,1호선,4,종로3가,191,24,3227,3388,3069,13080,5108,25462,7412,70639,11673,73336,18502,57312,29882,55725,37009,53678,44050,51189,47626,46621,53071,40250,56955,34679,68711,31234,94683,33315,55993,16571,41534,6332,51588,4938,47756,4591,6768,2318,25,413,0,0,0,0,0,0
Jun-21,1호선,5,종로5가,71,0,1526,3779,2574,16992,4781,39423,7414,103060,11525,62717,18431,50987,27735,48857,34387,47295,40094,42416,46633,39899,50981,35861,55982,29188,71386,26232,96880,22727,45846,12621,29493,5474,29266,4184,20319,3607,2740,1681,4,268,1,1,0,0,0,0
Jun-21,1호선,6,동대문,715,14,13235,2131,8936,6979,14776,12395,18660,24732,16788,22866,15988,21388,17257,22109,20561,21732,21099,20786,22318,19616,23370,18703,24338,17325,23923,17672,22895,18354,15871,19089,12693,12789,13040,10134,11167,10601,2811,8211,16,1434,1,1,0,0,0,0
Jun-21,1호선,7,신설동,343,3,8150,3192,8131,10929,17021,25745,24583,62999,16472,33400,14689,20639,16427,17238,17625,16913,19712,17440,19363,16063,20684,16772,28784,17481,39357,20038,57642,25012,20823,17529,13880,10932,13378,10102,10189,11809,1952,5451,10,449,0,0,0,0,0,0
Jun-21,1호선,8,제기동,360,3,5020,2150,8625,9488,21818,18800,31428,42110,22254,37145,25534,39572,33701,40192,37380,36944,37913,36302,38816,38060,39042,34744,36805,29316,38480,23319,37172,26182,16542,17773,10447,11211,8822,10198,7253,11830,2042,4844,8,408,0,0,1,0,0,0
